Id, Region, Country, TotalCases, TotalTests, ActiveCases
1419,Europe,Czechia,4641335,0,1426
1422,Europe,Switzerland,4404327,0,4109
1425,Europe,Romania,3397365,0,7241
1426,Europe,Denmark,3181366,0,786
1428,Europe,Sweden,2708137,0,3245
1429,Europe,Serbia,2538899,0,5230
1433,Europe,Hungary,2202179,0,3472
1435,Europe,Slovakia,1866647,0,335
1438,Europe,Ireland,1711233,0,2300
1440,Europe,Norway,1483639,0,474
1441,Europe,Finland,1477021,0,4607
1443,Europe,Slovenia,1343626,0,8520
1444,Europe,Lithuania,1319481,0,1431
1445,Europe,Bulgaria,1306103,0,2129
1447,Europe,Croatia,1273508,0,383
1460,Europe,Belarus,994037,0,1327
1461,Europe,Latvia,977833,0,194
1472,Europe,Moldova,620419,0,104164
1473,Europe,Estonia,618218,0,90227
1482,Europe,Bosnia and Herzegovina,402890,0,7467
1484,Europe,North Macedonia,348215,0,1471
1487,Europe,Albania,334726,0,1696
1489,Europe,Luxembourg,319959,0,2037
1491,Europe,Montenegro,291820,0,583
1500,Europe,Iceland,209191,0,-1
1513,Europe,Malta,118574,0,588
1516,Europe,Channel Islands,101717,0,168
1538,Europe,Andorra,48015,0,287
1548,Europe,Isle of Man,38008,0,-1
1550,Europe,Faeroe Islands,34658,0,-1
1560,Europe,San Marino,24247,0,24
1563,Europe,Liechtenstein,21437,0,1
1564,Europe,Gibraltar,20550,0,3858
1573,Europe,Monaco,16760,0,701
1613,Europe,Vatican City,29,0,0
1620,Europe,France,40045596,0,85269
1621,Europe,Germany,38418899,0,25565
1625,Europe,Italy,25828252,0,126475
1626,Europe,UK,24569895,0,1004
1627,Europe,Russia,22900755,0,178807
1629,Europe,Spain,13845825,0,43847
1634,Europe,Netherlands,8610372,0,0
1638,Europe,Poland,6515598,0,1060073
1640,Europe,Austria,6072229,0,6932
1641,Europe,Greece,6025776,0,6199
1642,Europe,Portugal,5582987,0,2195
1643,Europe,Ukraine,5538357,0,19743
1647,Europe,Belgium,4797108,0,9230
1650,Europe,Czechia,4641335,0,1426
1653,Europe,Switzerland,4404327,0,4109
1656,Europe,Romania,3397365,0,7241
1657,Europe,Denmark,3181366,0,786
1659,Europe,Sweden,2708137,0,3245
1660,Europe,Serbia,2538899,0,5230
1664,Europe,Hungary,2202179,0,3472
1666,Europe,Slovakia,1866647,0,335
1669,Europe,Ireland,1711233,0,2300
1671,Europe,Norway,1483639,0,474
1672,Europe,Finland,1477021,0,4607
1674,Europe,Slovenia,1343626,0,8520
1675,Europe,Lithuania,1319481,0,1431
1676,Europe,Bulgaria,1306103,0,2129
1678,Europe,Croatia,1273508,0,383
1691,Europe,Belarus,994037,0,1327
1692,Europe,Latvia,977833,0,194
1703,Europe,Moldova,620419,0,104164
1704,Europe,Estonia,618218,0,90227
1713,Europe,Bosnia and Herzegovina,402890,0,7467
1715,Europe,North Macedonia,348215,0,1471
1718,Europe,Albania,334726,0,1696
1720,Europe,Luxembourg,319959,0,2037
1722,Europe,Montenegro,291820,0,583
1731,Europe,Iceland,209191,0,-1
1744,Europe,Malta,118574,0,588
1747,Europe,Channel Islands,101717,0,168
1769,Europe,Andorra,48015,0,287
1779,Europe,Isle of Man,38008,0,-1
1781,Europe,Faeroe Islands,34658,0,-1
1791,Europe,San Marino,24247,0,24
1794,Europe,Liechtenstein,21437,0,1
1795,Europe,Gibraltar,20550,0,3858
1804,Europe,Monaco,16760,0,701
1844,Europe,Vatican City,29,0,0
1851,Europe,France,40045596,0,85269
1852,Europe,Germany,38418899,0,25565
1856,Europe,Italy,25828252,0,126475
1857,Europe,UK,24569895,0,1004
1858,Europe,Russia,22900755,0,178807
1860,Europe,Spain,13845825,0,43847
1865,Europe,Netherlands,8610372,0,0
1869,Europe,Poland,6515598,0,1060073
1871,Europe,Austria,6072229,0,6932
1872,Europe,Greece,6025776,0,6199
1873,Europe,Portugal,5582987,0,2195
1874,Europe,Ukraine,5538357,0,19743
1878,Europe,Belgium,4797108,0,9230
1881,Europe,Czechia,4641335,0,1426
1884,Europe,Switzerland,4404327,0,4109
1887,Europe,Romania,3397365,0,7241
1888,Europe,Denmark,3181366,0,786
1890,Europe,Sweden,2708137,0,3245
1891,Europe,Serbia,2538899,0,5230
1895,Europe,Hungary,2202179,0,3472
1897,Europe,Slovakia,1866647,0,335
1900,Europe,Ireland,1711233,0,2300
1902,Europe,Norway,1483639,0,474
1903,Europe,Finland,1477021,0,4607
1905,Europe,Slovenia,1343626,0,8520
1906,Europe,Lithuania,1319481,0,1431
1907,Europe,Bulgaria,1306103,0,2129
1909,Europe,Croatia,1273508,0,383
1922,Europe,Belarus,994037,0,1327
