Id, Region, Country, TotalCases, TotalTests, ActiveCases
702,Europe,UK,24569895,522526476,2646
703,Europe,Russia,22900755,273400000,178807
705,Europe,Spain,13845825,471036328,43847
710,Europe,Netherlands,8610372,25984435,0
714,Europe,Poland,6515598,38699972,1060073
716,Europe,Austria,6072229,211273524,6932
717,Europe,Greece,6025776,102228365,7232
718,Europe,Portugal,5582987,46082209,5162
719,Europe,Ukraine,5538357,32603805,19743
723,Europe,Belgium,4797108,37018657,9768
726,Europe,Czechia,4641335,57196320,1426
729,Europe,Switzerland,4404327,23833472,4109
732,Europe,Romania,3397365,27242332,7241
733,Europe,Denmark,3181366,129276961,781
735,Europe,Sweden,2708137,19500873,3355
736,Europe,Serbia,2538655,12852191,5444
740,Europe,Hungary,2202179,11394556,3472
742,Europe,Slovakia,1866647,7428816,335
745,Europe,Ireland,1711233,13083449,2300
747,Europe,Norway,1483639,11002430,499
748,Europe,Finland,1477021,12090288,4857
750,Europe,Slovenia,1343626,2847701,8520
751,Europe,Lithuania,1319481,10444610,1431
752,Europe,Bulgaria,1305937,11206260,2200
754,Europe,Croatia,1273256,5588632,479
767,Europe,Belarus,994037,13646641,1327
768,Europe,Latvia,977833,7875439,194
779,Europe,Moldova,620419,3216305,104164
780,Europe,Estonia,618218,3707220,90227
789,Europe,Bosnia and Herzegovina,402890,1884721,7467
791,Europe,North Macedonia,348215,2226216,1471
794,Europe,Albania,334726,1941032,1696
796,Europe,Luxembourg,319959,4587145,2037
798,Europe,Montenegro,291798,2752386,588
807,Europe,Iceland,209191,1996384,-1
820,Europe,Malta,118574,2137285,588
823,Europe,Channel Islands,101717,1252808,168
845,Europe,Andorra,48015,249838,287
855,Europe,Isle of Man,38008,150753,-1
857,Europe,Faeroe Islands,34658,778000,-1
867,Europe,San Marino,24210,196855,72
870,Europe,Liechtenstein,21437,112457,1
871,Europe,Gibraltar,20550,534283,3858
880,Europe,Monaco,16760,78646,701
920,Europe,Vatican City,29,-1,0
927,Europe,France,40044973,271490188,93541
928,Europe,Germany,38417622,122332384,24325
932,Europe,Italy,25828252,272079213,126475
933,Europe,UK,24569895,522526476,2646
934,Europe,Russia,22900755,273400000,178807
936,Europe,Spain,13845825,471036328,43847
941,Europe,Netherlands,8610372,25984435,0
945,Europe,Poland,6515598,38699972,1060073
947,Europe,Austria,6072229,211273524,6932
948,Europe,Greece,6025776,102228365,7232
949,Europe,Portugal,5582987,46082209,5162
950,Europe,Ukraine,5538357,32603805,19743
954,Europe,Belgium,4797108,37018657,9768
957,Europe,Czechia,4641335,57196320,1426
960,Europe,Switzerland,4404327,23833472,4109
963,Europe,Romania,3397365,27242332,7241
964,Europe,Denmark,3181366,129276961,781
966,Europe,Sweden,2708137,19500873,3355
967,Europe,Serbia,2538655,12852191,5444
971,Europe,Hungary,2202179,11394556,3472
973,Europe,Slovakia,1866647,7428816,335
976,Europe,Ireland,1711233,13083449,2300
978,Europe,Norway,1483639,11002430,499
979,Europe,Finland,1477021,12090288,4857
981,Europe,Slovenia,1343626,2847701,8520
982,Europe,Lithuania,1319481,10444610,1431
983,Europe,Bulgaria,1305937,11206260,2200
985,Europe,Croatia,1273256,5588632,479
998,Europe,Belarus,994037,13646641,1327
999,Europe,Latvia,977833,7875439,194
1010,Europe,Moldova,620419,3216305,104164
1011,Europe,Estonia,618218,3707220,90227
1020,Europe,Bosnia and Herzegovina,402890,1884721,7467
1022,Europe,North Macedonia,348215,2226216,1471
1025,Europe,Albania,334726,1941032,1696
1027,Europe,Luxembourg,319959,4587145,2037
1029,Europe,Montenegro,291798,2752386,588
1038,Europe,Iceland,209191,1996384,-1
1051,Europe,Malta,118574,2137285,588
1054,Europe,Channel Islands,101717,1252808,168
1076,Europe,Andorra,48015,249838,287
1086,Europe,Isle of Man,38008,150753,-1
1088,Europe,Faeroe Islands,34658,778000,-1
1098,Europe,San Marino,24210,196855,72
1101,Europe,Liechtenstein,21437,112457,1
1102,Europe,Gibraltar,20550,534283,3858
1111,Europe,Monaco,16760,78646,701
1151,Europe,Vatican City,29,-1,0
1158,Europe,France,40044973,271490188,93541
1159,Europe,Germany,38417622,122332384,24325
1163,Europe,Italy,25828252,272079213,126475
1164,Europe,UK,24569895,522526476,2646
1165,Europe,Russia,22900755,273400000,178807
1167,Europe,Spain,13845825,471036328,43847
1172,Europe,Netherlands,8610372,25984435,0
1176,Europe,Poland,6515598,38699972,1060073
1178,Europe,Austria,6072229,211273524,6932
1179,Europe,Greece,6025776,102228365,7232
1180,Europe,Portugal,5582987,46082209,5162
