Region,Country,Total Cases,Total Tests,Active Cases
Europe,Faeroe Islands,34658,-1,778000
North America,Haiti,34228,26,132422
Africa,Mali,33145,76,803825
North America,Cayman Islands,31472,22882,222773
North America,Saint Lucia,30052,548,210983
Africa,Benin,28014,4,604310
Africa,Somalia,27334,12791,400466
Australia/Oceania,Micronesia,26453,-1,82000
Africa,Congo,25375,983,347815
Australia/Oceania,Solomon Islands,24575,-1,-1
Europe,San Marino,24247,24,196855
Asia,Timor-Leste,23433,193,278529
Africa,Burkina Faso,22056,64,248995
Europe,Liechtenstein,21437,1,112457
Europe,Gibraltar,20550,3858,534283
North America,Grenada,19693,97,182981
North America,Bermuda,18860,10,1029558
North America,Nicaragua,18491,14041,-1
Africa,South Sudan,18368,115,410280
Asia,Tajikistan,17786,397,-1
Africa,Equatorial Guinea,17229,139,365697
Australia/Oceania,Tonga,16816,1165,535009
Australia/Oceania,Samoa,16763,15127,187397
Europe,Monaco,16760,701,78646
Australia/Oceania,Marshall Islands,16081,110,-1
North America,Dominica,15760,13,229344
Africa,Djibouti,15690,74,305941
Africa,CAR,15368,55,81294
Africa,Gambia,12626,65,155686
North America,Saint Martin,12300,10838,112382
Australia/Oceania,Vanuatu,12016,26,24976
North America,Greenland,11971,9189,164926
Asia,Yemen,11945,662,329592
North America,Caribbean Netherlands,11682,1168,30126
North America,Sint Maarten,11030,33,62056
Africa,Eritrea,10189,0,23693
Africa,Niger,9931,729,254538
North America,St. Vincent Grenadines,9619,7,114100
Africa,Guinea-Bissau,9614,508,145231
Africa,Comoros,9109,9,-1
North America,Antigua and Barbuda,9106,6,18901
Africa,Liberia,8090,12,139824
Africa,Sierra Leone,7762,-1,259958
Africa,Chad,7701,2633,191341
North America,British Virgin Islands,7305,-1,107339
Australia/Oceania,Cook Islands,7067,5,19690
North America,Saint Kitts and Nevis,6600,2,126941
North America,Turks and Caicos,6588,21,612335
Africa,Sao Tome and Principe,6580,5,29036
Australia/Oceania,Palau,6000,0,69641
North America,St. Barth,5486,-1,78646
Australia/Oceania,Nauru,5393,45,20509
Australia/Oceania,Kiribati,5025,2298,-1
North America,Anguilla,3904,13,51382
Asia,Macao,3579,11,7850
North America,Saint Pierre Miquelon,3452,1001,25400
Australia/Oceania,Wallis and Futuna,3427,2982,20508
Australia/Oceania,Tuvalu,2805,2805,-1
Africa,Saint Helena,2166,2164,-1
South America,Falkland Islands,1930,0,8632
North America,Montserrat,1403,19,17762
Australia/Oceania,Niue,802,1,-1
,Diamond Princess,712,0,-1
Europe,Vatican City,29,0,-1
Africa,Western Sahara,10,0,-1
,MS Zaandam,9,0,-1
Australia/Oceania,Tokelau,5,5,-1
Asia,China,503302,118977,160000000
